hospital_name,federal_entity,last_reported_day,is_latest_report,is_today_report,hospital_code,report_day,last_report_ts,ira_death_count,max_report_day,icu_beds_count,icu_beds_added_since_last_report,er_beds_count,er_beds_added_since_last_report,respiratory_units_count,adhoc_ira_capacity_added,adhoc_ira_capacity_respiratory_units_available,masks_available,gloves_available,soap_available,hand_sanitizer_available,ira_cases_in_uci_count,other_cases_in_uci_count,ira_cases_in_er_count,other_cases_in_er_count,ira_cases_in_respiratory_count,power_availability,wash_availability,covid_cases_suspected,covid_cases_confirmed_rapid_test,covid_cases_confirmed_test,covid_cases_confirmed_rapid_test_hospitalized_count,covid_cases_confirmed_test_hospitalized_count
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/14/20,2020-03-14T14:27:45,0,5/26/20,4,No,32,No,3,No,No,No hay,No hay,No hay,No hay,2,0,0,0,3,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/15/20,2020-03-16T08:40:47,0,5/26/20,4,No,32,No,3,No,No,No hay,No hay,No hay,No hay,1,3,3,18,2,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/16/20,2020-03-16T18:02:16,1,5/26/20,4,No,28,No,0,No,No,No hay,No hay,No hay,No hay,1,0,3,0,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/17/20,2020-03-17T14:54:33,0,5/26/20,4,No,32,No,0,No,No,No hay,No hay,No hay,No hay,1,0,1,8,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/18/20,2020-03-18T17:05:17,0,5/26/20,4,No,25,No,0,No,No,No hay,No hay,No hay,No hay,1,0,1,10,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/19/20,,0,5/26/20,4,No,25,No,0,No,No,No hay,No hay,No hay,No hay,1,0,1,10,0,No hay,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/20/20,2020-03-20T17:22:06,0,5/26/20,4,No,24,Sí,0,No,No,No hay,No hay,Hay de manera intermitente,Hay de manera intermitente,0,1,0,5,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/21/20,,0,5/26/20,4,No,24,Sí,0,No,No,No hay,No hay,Hay de manera intermitente,Hay de manera intermitente,0,1,0,5,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/22/20,,0,5/26/20,4,No,24,Sí,0,No,No,No hay,No hay,Hay de manera intermitente,Hay de manera intermitente,0,1,0,5,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/23/20,,0,5/26/20,4,No,24,Sí,0,No,No,No hay,No hay,Hay de manera intermitente,Hay de manera intermitente,0,1,0,5,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/24/20,2020-03-24T14:43:57,0,5/26/20,4,No,24,Sí,0,No,No,No hay,No hay,No hay,No hay,0,0,4,0,0,Sí hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/25/20,2020-03-25T15:08:15,0,5/26/20,3,No,24,Sí,9,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,3,0,0,Sí hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/26/20,2020-03-27T08:32:07,0,5/26/20,3,No,24,No,3,No,No,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,0,3,0,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/27/20,2020-03-28T14:44:44,0,5/26/20,3,No,24,No,9,No,No,No hay,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,0,6,0,0,Hay de manera intermitente,Sí hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/28/20,2020-03-28T14:50:34,0,5/26/20,3,No,24,Sí,9,No,No,No hay,Hay de manera intermitente,Hay de manera intermitente,Hay de manera intermitente,0,0,7,0,0,Sí hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/29/20,2020-03-31T07:42:46,0,5/26/20,3,No,24,No,1,Sí,Sí,No hay,No hay,No hay,No hay,0,0,2,8,0,No hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/30/20,2020-03-31T07:44:06,0,5/26/20,3,No,24,No,2,No,No,No hay,No hay,No hay,No hay,0,0,2,8,0,No hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,3/31/20,2020-03-31T14:47:19,0,5/26/20,3,No,24,No,2,No,No,No hay,No hay,No hay,No hay,0,0,6,12,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/1/20,2020-04-01T14:26:34,0,5/26/20,3,No,24,No,2,No,No,No hay,No hay,No hay,No hay,0,0,4,10,0,Hay de manera intermitente,Sí hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/2/20,2020-04-02T14:02:09,0,5/26/20,3,No,24,No,2,No,No,No hay,No hay,No hay,No hay,0,0,8,9,0,Hay de manera intermitente,No hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/3/20,2020-04-03T15:05:08,0,5/26/20,3,No,24,No,2,No,No,Sí hay,Hay de manera intermitente,No hay,No hay,0,0,6,8,0,Hay de manera intermitente,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/4/20,2020-04-04T15:24:29,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,3,8,0,Sí hay,Hay de manera intermitente,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/5/20,2020-04-06T11:56:12,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,3,11,0,Hay de manera intermitente,Sí hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/6/20,2020-04-07T09:34:20,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,3,11,0,Hay de manera intermitente,Sí hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/7/20,,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,3,11,0,Hay de manera intermitente,Sí hay,No hay,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/8/20,2020-04-10T07:58:20,0,5/26/20,3,No,24,No,1,Sí,No,No hay,No hay,No hay,No hay,0,3,0,11,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/9/20,2020-04-10T08:00:56,0,5/26/20,3,No,24,No,1,Sí,No,No hay,Hay de manera intermitente,No hay,No hay,0,2,0,15,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/10/20,2020-04-10T08:03:49,0,5/26/20,3,No,24,No,1,Sí,No,No hay,Hay de manera intermitente,No hay,No hay,0,3,0,19,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/11/20,2020-04-13T13:48:20,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,4,9,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/12/20,,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,4,9,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/13/20,2020-04-13T13:55:04,0,5/26/20,3,No,24,No,2,No,No,No hay,Hay de manera intermitente,No hay,No hay,0,0,7,9,0,Hay de manera intermitente,Sí hay,No,No hay,No hay,0,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/14/20,2020-04-17T07:13:52,0,5/26/20,3,No,24,No,1,Sí,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,3,5,16,0,Hay de manera intermitente,Sí hay,Sí,Sí,Sí,1,0
Hospital Dr. José Gregorio Hernández,Amazonas,5/26/20,FALSE,TRUE,AMA000,4/15/20,2020-04-15T13:51:32,0,5/26/20,3,No,24,No,2,No,Sí,No hay,Hay de manera intermitente,No hay,No hay,0,0,6,12,0,Sí hay,Sí hay,Sí,Sí,Sí,1,0
